title,year,plot,genres,combined_rating,imdb_id,vote_count,director,stars,genres_list,genres_clean,director_list,director_clean,stars_list,stars_clean,plot_clean,content_features
Ace in the Hole,1951,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.","['Drama', 'Film-Noir']",8.1,tt0043338,40737.0,['Billy Wilder'],"['Kirk Douglas', 'Jan Sterling', 'Robert Arthur', 'Porter Hall']","['Drama', 'Film-Noir']","Drama, Film-Noir",['Billy Wilder'],Billy Wilder,"['Kirk Douglas', 'Jan Sterling', 'Robert Arthur', 'Porter Hall']","Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus. Drama, Film-Noir Billy Wilder Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall"
White Heat,1949,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"['Action', 'Crime', 'Drama']",8.1,tt0042041,37129.0,['Raoul Walsh'],"['James Cagney', 'Virginia Mayo', ""Edmond O'Brien"", 'Margaret Wycherly']","['Action', 'Crime', 'Drama']","Action, Crime, Drama",['Raoul Walsh'],Raoul Walsh,"['James Cagney', 'Virginia Mayo', ""Edmond O'Brien"", 'Margaret Wycherly']","James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist. Action, Crime, Drama Raoul Walsh James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly"
The Third Man,1949,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","['Film-Noir', 'Mystery', 'Thriller']",8.1,tt0041959,189248.0,['Carol Reed'],"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']","['Film-Noir', 'Mystery', 'Thriller']","Film-Noir, Mystery, Thriller",['Carol Reed'],Carol Reed,"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']","Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime. Film-Noir, Mystery, Thriller Carol Reed Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard"
The Red Shoes,1948,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"['Drama', 'Music', 'Romance']",8.1,tt0040725,41394.0,['Michael Powell'],"['Emeric Pressburger', 'Anton Walbrook', 'Marius Goring', 'Moira Shearer']","['Drama', 'Music', 'Romance']","Drama, Music, Romance",['Michael Powell'],Michael Powell,"['Emeric Pressburger', 'Anton Walbrook', 'Marius Goring', 'Moira Shearer']","Emeric Pressburger, Anton Walbrook, Marius Goring, Moira Shearer",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina. Drama, Music, Romance Michael Powell Emeric Pressburger, Anton Walbrook, Marius Goring, Moira Shearer"
The Shop Around the Corner,1940,"In Budapest, Hungary, the Matuschek and Company store is owned by Mr. Hugo Matuschek and the bachelor Alfred Kralik is his best and most experienced salesman. When Klara Novak seeks a job position of saleswoman in the store, Matuschek hires her but Kralik and she do not get along. Meanwhile the lonely and dedicated Kralik has an unknown pen pal that he intends to propose very soon; however, he is fired without explanation by Matuschek on the night that he is going to meet his secret love. He goes to the bar where they have scheduled their meeting with his colleague Pirovitch and he surprisingly finds that Klara is his correspondent; however, ashamed After being let go he does not disclose his identity to her. When Matuschek discovers that he had misjudged Kralik and committed a mistake, he hires him again for the position of manager. But Klara is still fascinated with her correspondent and does not pay much attention to Alfred. Alfred works out a plan to reveal himself to Klara's who he is attracted to now that he sees past her attitude.","['Comedy', 'Drama', 'Romance']",8.0,tt0033045,41471.0,['Ernst Lubitsch'],"['Margaret Sullavan', 'James Stewart', 'Frank Morgan', 'Joseph Schildkraut']","['Comedy', 'Drama', 'Romance']","Comedy, Drama, Romance",['Ernst Lubitsch'],Ernst Lubitsch,"['Margaret Sullavan', 'James Stewart', 'Frank Morgan', 'Joseph Schildkraut']","Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut","In Budapest, Hungary, the Matuschek and Company store is owned by Mr. Hugo Matuschek and the bachelor Alfred Kralik is his best and most experienced salesman. When Klara Novak seeks a job position of saleswoman in the store, Matuschek hires her but Kralik and she do not get along. Meanwhile the lonely and dedicated Kralik has an unknown pen pal that he intends to propose very soon; however, he is fired without explanation by Matuschek on the night that he is going to meet his secret love. He goes to the bar where they have scheduled their meeting with his colleague Pirovitch and he surprisingly finds that Klara is his correspondent; however, ashamed After being let go he does not disclose his identity to her. When Matuschek discovers that he had misjudged Kralik and committed a mistake, he hires him again for the position of manager. But Klara is still fascinated with her correspondent and does not pay much attention to Alfred. Alfred works out a plan to reveal himself to Klara's who he is attracted to now that he sees past her attitude.","In Budapest, Hungary, the Matuschek and Company store is owned by Mr. Hugo Matuschek and the bachelor Alfred Kralik is his best and most experienced salesman. When Klara Novak seeks a job position of saleswoman in the store, Matuschek hires her but Kralik and she do not get along. Meanwhile the lonely and dedicated Kralik has an unknown pen pal that he intends to propose very soon; however, he is fired without explanation by Matuschek on the night that he is going to meet his secret love. He goes to the bar where they have scheduled their meeting with his colleague Pirovitch and he surprisingly finds that Klara is his correspondent; however, ashamed After being let go he does not disclose his identity to her. When Matuschek discovers that he had misjudged Kralik and committed a mistake, he hires him again for the position of manager. But Klara is still fascinated with her correspondent and does not pay much attention to Alfred. Alfred works out a plan to reveal himself to Klara's who he is attracted to now that he sees past her attitude. Comedy, Drama, Romance Ernst Lubitsch Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut"
Rebecca,1940,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"['Drama', 'Mystery', 'Romance']",8.1,tt0032976,157617.0,['Alfred Hitchcock'],"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']","['Drama', 'Mystery', 'Romance']","Drama, Mystery, Romance",['Alfred Hitchcock'],Alfred Hitchcock,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']","Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence. Drama, Mystery, Romance Alfred Hitchcock Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson"
Mr. Smith Goes to Washington,1939,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","['Comedy', 'Drama']",8.1,tt0031679,125619.0,['Frank Capra'],"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold']","['Comedy', 'Drama']","Comedy, Drama",['Frank Capra'],Frank Capra,"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold']","James Stewart, Jean Arthur, Claude Rains, Edward Arnold","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down. Comedy, Drama Frank Capra James Stewart, Jean Arthur, Claude Rains, Edward Arnold"
Gone with the Wind,1939,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"['Drama', 'History', 'Romance']",8.2,tt0031381,345632.0,['Victor Fleming'],"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh']","['Drama', 'History', 'Romance']","Drama, History, Romance",['Victor Fleming'],Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh']","George Cukor, Sam Wood, Clark Gable, Vivien Leigh",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods. Drama, History, Romance Victor Fleming George Cukor, Sam Wood, Clark Gable, Vivien Leigh"
La Grande Illusion,1937,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","['Drama', 'War']",8.1,tt0028950,40066.0,['Jean Renoir'],"['Jean Gabin', 'Dita Parlo', 'Pierre Fresnay', 'Erich von Stroheim']","['Drama', 'War']","Drama, War",['Jean Renoir'],Jean Renoir,"['Jean Gabin', 'Dita Parlo', 'Pierre Fresnay', 'Erich von Stroheim']","Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress. Drama, War Jean Renoir Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim"
It Happened One Night,1934,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what (he thinks!) he wants .... a really juicy newspaper story.","['Comedy', 'Romance']",8.1,tt0025316,116573.0,['Frank Capra'],"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']","['Comedy', 'Romance']","Comedy, Romance",['Frank Capra'],Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']","Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns","Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what (he thinks!) he wants .... a really juicy newspaper story.","Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what (he thinks!) he wants .... a really juicy newspaper story. Comedy, Romance Frank Capra Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns"
La passion de Jeanne d'Arc,1928,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","['Biography', 'Drama', 'History']",8.1,tt0019254,64553.0,['Carl Theodor Dreyer'],"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']","['Biography', 'Drama', 'History']","Biography, Drama, History",['Carl Theodor Dreyer'],Carl Theodor Dreyer,"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']","Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions. Biography, Drama, History Carl Theodor Dreyer Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz"
The Circus,1928,The Tramp finds work and the girl of his dreams at a circus.,"['Comedy', 'Romance']",8.1,tt0018773,37289.0,['Charles Chaplin'],"['Charles Chaplin', 'Merna Kennedy', 'Al Ernest Garcia', 'Harry Crocker']","['Comedy', 'Romance']","Comedy, Romance",['Charles Chaplin'],Charles Chaplin,"['Charles Chaplin', 'Merna Kennedy', 'Al Ernest Garcia', 'Harry Crocker']","Charles Chaplin, Merna Kennedy, Al Ernest Garcia, Harry Crocker",The Tramp finds work and the girl of his dreams at a circus.,"The Tramp finds work and the girl of his dreams at a circus. Comedy, Romance Charles Chaplin Charles Chaplin, Merna Kennedy, Al Ernest Garcia, Harry Crocker"
Sunrise: A Song of Two Humans,1927,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,"['Drama', 'Romance']",8.1,tt0018455,55305.0,['F.W. Murnau'],"[""George O'Brien"", 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing']","['Drama', 'Romance']","Drama, Romance",['F.W. Murnau'],F.W. Murnau,"[""George O'Brien"", 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing']","George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,"An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife. Drama, Romance F.W. Murnau George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing"
The General,1926,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","['Action', 'Adventure', 'Comedy']",8.1,tt0017925,102360.0,['Clyde Bruckman'],"['Buster Keaton', 'Buster Keaton', 'Marion Mack', 'Glen Cavender']","['Action', 'Adventure', 'Comedy']","Action, Adventure, Comedy",['Clyde Bruckman'],Clyde Bruckman,"['Buster Keaton', 'Buster Keaton', 'Marion Mack', 'Glen Cavender']","Buster Keaton, Buster Keaton, Marion Mack, Glen Cavender","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines. Action, Adventure, Comedy Clyde Bruckman Buster Keaton, Buster Keaton, Marion Mack, Glen Cavender"
Das Cabinet des Dr. Caligari,1920,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","['Fantasy', 'Horror', 'Mystery']",8.0,tt0010323,73324.0,['Robert Wiene'],"['Werner Krauss', 'Conrad Veidt', 'Friedrich Feher', 'Lil Dagover']","['Fantasy', 'Horror', 'Mystery']","Fantasy, Horror, Mystery",['Robert Wiene'],Robert Wiene,"['Werner Krauss', 'Conrad Veidt', 'Friedrich Feher', 'Lil Dagover']","Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders. Fantasy, Horror, Mystery Robert Wiene Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover"
Badhaai ho,2018,A man is embarrassed when he finds out his mother is pregnant.,"['Comedy', 'Drama']",7.9,tt7725596,39181.0,['Amit Ravindernath Sharma'],"['Ayushmann Khurrana', 'Neena Gupta', 'Gajraj Rao', 'Sanya Malhotra']","['Comedy', 'Drama']","Comedy, Drama",['Amit Ravindernath Sharma'],Amit Ravindernath Sharma,"['Ayushmann Khurrana', 'Neena Gupta', 'Gajraj Rao', 'Sanya Malhotra']","Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra",A man is embarrassed when he finds out his mother is pregnant.,"A man is embarrassed when he finds out his mother is pregnant. Comedy, Drama Amit Ravindernath Sharma Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra"
Togo,2019,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.","['Adventure', 'Biography', 'Drama']",7.9,tt5116302,58751.0,['Ericson Core'],"['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl', 'Richard Dormer']","['Adventure', 'Biography', 'Drama']","Adventure, Biography, Drama",['Ericson Core'],Ericson Core,"['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl', 'Richard Dormer']","Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer","The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.","The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race. Adventure, Biography, Drama Ericson Core Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer"
Airlift,2016,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.","['Drama', 'History']",7.9,tt4387040,59740.0,['Raja Menon'],"['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra', 'Prakash Belawadi']","['Drama', 'History']","Drama, History",['Raja Menon'],Raja Menon,"['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra', 'Prakash Belawadi']","Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen. Drama, History Raja Menon Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi"
Bajrangi Bhaijaan,2015,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"['Action', 'Adventure', 'Comedy']",8.1,tt3863552,104141.0,['Kabir Khan'],"['Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui', 'Kareena Kapoor']","['Action', 'Adventure', 'Comedy']","Action, Adventure, Comedy",['Kabir Khan'],Kabir Khan,"['Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui', 'Kareena Kapoor']","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family. Action, Adventure, Comedy Kabir Khan Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
Baby,2015,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.","['Action', 'Crime', 'Thriller']",7.5,tt3890160,648341.0,['Neeraj Pandey'],"['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati', 'Taapsee Pannu']","['Action', 'Crime', 'Thriller']","Action, Crime, Thriller",['Neeraj Pandey'],Neeraj Pandey,"['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati', 'Taapsee Pannu']","Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India. Action, Crime, Thriller Neeraj Pandey Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu"
La La Land,2016,"Aspiring actress serves lattes to movie stars in between auditions and jazz musician Sebastian scrapes by playing cocktail-party gigs in dingy bars. But as success mounts, they are faced with decisions that fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.","['Comedy', 'Drama', 'Music']",8.0,tt3783958,716270.0,['Damien Chazelle'],"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']","['Comedy', 'Drama', 'Music']","Comedy, Drama, Music",['Damien Chazelle'],Damien Chazelle,"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']","Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons","Aspiring actress serves lattes to movie stars in between auditions and jazz musician Sebastian scrapes by playing cocktail-party gigs in dingy bars. But as success mounts, they are faced with decisions that fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.","Aspiring actress serves lattes to movie stars in between auditions and jazz musician Sebastian scrapes by playing cocktail-party gigs in dingy bars. But as success mounts, they are faced with decisions that fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart. Comedy, Drama, Music Damien Chazelle Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
Lion,2016,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","['Biography', 'Drama']",8.0,tt13186482,,['Garth Davis'],"['Dev Patel', 'Nicole Kidman', 'Rooney Mara', 'Sunny Pawar']","['Biography', 'Drama']","Biography, Drama",['Garth Davis'],Garth Davis,"['Dev Patel', 'Nicole Kidman', 'Rooney Mara', 'Sunny Pawar']","Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family. Biography, Drama Garth Davis Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
The Martian,2015,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","['Adventure', 'Drama', 'Sci-Fi']",8.0,tt3659388,965551.0,['Ridley Scott'],"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Kate Mara']","['Adventure', 'Drama', 'Sci-Fi']","Adventure, Drama, Sci-Fi",['Ridley Scott'],Ridley Scott,"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Kate Mara']","Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive. Adventure, Drama, Sci-Fi Ridley Scott Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara"
Zootopia,2016,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","['Animation', 'Adventure', 'Comedy']",8.0,tt2948356,577608.0,['Byron Howard'],"['Rich Moore', 'Jared Bush', 'Ginnifer Goodwin', 'Jason Bateman']","['Animation', 'Adventure', 'Comedy']","Animation, Adventure, Comedy",['Byron Howard'],Byron Howard,"['Rich Moore', 'Jared Bush', 'Ginnifer Goodwin', 'Jason Bateman']","Rich Moore, Jared Bush, Ginnifer Goodwin, Jason Bateman","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy. Animation, Adventure, Comedy Byron Howard Rich Moore, Jared Bush, Ginnifer Goodwin, Jason Bateman"
Bãhubali: The Beginning,2015,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.","['Action', 'Drama']",8.0,tt2631186,144380.0,['S.S. Rajamouli'],"['Prabhas', 'Rana Daggubati', 'Ramya Krishnan', 'Sathyaraj']","['Action', 'Drama']","Action, Drama",['S.S. Rajamouli'],S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Ramya Krishnan', 'Sathyaraj']","Prabhas, Rana Daggubati, Ramya Krishnan, Sathyaraj","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples. Action, Drama S.S. Rajamouli Prabhas, Rana Daggubati, Ramya Krishnan, Sathyaraj"
Kaguyahime no monogatari,2013,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","['Animation', 'Adventure', 'Drama']",8.0,tt2576852,58001.0,['Isao Takahata'],"['Chloë Grace Moretz', 'James Caan', 'Mary Steenburgen', 'James Marsden']","['Animation', 'Adventure', 'Drama']","Animation, Adventure, Drama",['Isao Takahata'],Isao Takahata,"['Chloë Grace Moretz', 'James Caan', 'Mary Steenburgen', 'James Marsden']","Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime. Animation, Adventure, Drama Isao Takahata Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden"
Wonder,2017,"Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman. Born with facial differences that, up until now, have prevented him from going to a mainstream school, Auggie becomes the most unlikely of heroes when he enters the local fifth grade. As his family, his new classmates, and the larger community all struggle to discover their compassion and acceptance, Auggie's extraordinary journey will unite them all and prove you can't blend in when you were born to stand out.","['Drama', 'Family']",7.9,tt2543472,187763.0,['Stephen Chbosky'],"['Jacob Tremblay', 'Owen Wilson', 'Izabela Vidovic', 'Julia Roberts']","['Drama', 'Family']","Drama, Family",['Stephen Chbosky'],Stephen Chbosky,"['Jacob Tremblay', 'Owen Wilson', 'Izabela Vidovic', 'Julia Roberts']","Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts","Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman. Born with facial differences that, up until now, have prevented him from going to a mainstream school, Auggie becomes the most unlikely of heroes when he enters the local fifth grade. As his family, his new classmates, and the larger community all struggle to discover their compassion and acceptance, Auggie's extraordinary journey will unite them all and prove you can't blend in when you were born to stand out.","Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman. Born with facial differences that, up until now, have prevented him from going to a mainstream school, Auggie becomes the most unlikely of heroes when he enters the local fifth grade. As his family, his new classmates, and the larger community all struggle to discover their compassion and acceptance, Auggie's extraordinary journey will unite them all and prove you can't blend in when you were born to stand out. Drama, Family Stephen Chbosky Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts"
Gully Boy,2019,A coming-of-age story based on the lives of street rappers in Mumbai.,"['Drama', 'Music', 'Romance']",7.9,tt2395469,45076.0,['Zoya Akhtar'],"['Vijay Varma', 'Nakul Roshan Sahdev', 'Ranveer Singh', 'Vijay Raaz']","['Drama', 'Music', 'Romance']","Drama, Music, Romance",['Zoya Akhtar'],Zoya Akhtar,"['Vijay Varma', 'Nakul Roshan Sahdev', 'Ranveer Singh', 'Vijay Raaz']","Vijay Varma, Nakul Roshan Sahdev, Ranveer Singh, Vijay Raaz",A coming-of-age story based on the lives of street rappers in Mumbai.,"A coming-of-age story based on the lives of street rappers in Mumbai. Drama, Music, Romance Zoya Akhtar Vijay Varma, Nakul Roshan Sahdev, Ranveer Singh, Vijay Raaz"
